Date,Open,High,Low,Close,Volume,OpenInt
2005-01-03,32.31,32.31,31.527,31.616,1027044,0
2005-01-04,31.527,31.616,31.22,31.338,1927762,0
2005-01-05,30.971,31.051,30.714,30.843,943399,0
2005-01-06,30.843,31.398,30.764,31.26,662398,0
2005-01-07,31.26,31.26,30.456,30.566,1087886,0
2005-01-10,30.506,31.23,30.486,30.863,896381,0
2005-01-11,30.843,30.903,30.199,30.377,835841,0
2005-01-12,30.456,30.466,29.872,30.07,1476041,0
2005-01-13,30.07,30.605,29.882,30.129,772578,0
2005-01-14,30.189,30.337,30.07,30.239,453538,0
2005-01-18,30.09,30.724,29.862,30.496,592979,0
2005-01-19,30.506,30.605,29.852,30.08,694685,0
2005-01-20,30.06,30.407,30.05,30.1,858644,0
2005-01-21,30.129,30.307,29.584,29.723,1040463,0
2005-01-24,29.763,29.931,29.287,29.346,920193,0
2005-01-25,29.465,29.644,29.188,29.287,555647,0
2005-01-26,29.326,29.495,29.168,29.336,874385,0
2005-01-27,29.217,29.733,29,29.653,636871,0
2005-01-28,29.614,29.921,29.198,29.644,771367,0
2005-01-31,29.872,30.149,29.317,29.564,884878,0
2005-02-01,29.614,29.644,29.307,29.336,925137,0
2005-02-02,29.336,29.763,29.207,29.614,699124,0
2005-02-03,29.485,29.495,28.89,29.039,962772,0
2005-02-04,29.029,29.237,28.811,29.069,1040161,0
2005-02-07,28.99,29.505,28.811,29.019,683485,0
2005-02-08,29.089,29.188,28.593,28.663,1209972,0
2005-02-09,28.663,28.841,28.118,28.226,1229041,0
2005-02-10,28.048,28.186,27.741,27.859,1645651,0
2005-02-11,28.821,30.883,28.583,30.377,5309066,0
2005-02-14,30.447,30.447,29.624,29.872,1961665,0
2005-02-15,29.872,30.06,29.733,29.882,1142068,0
2005-02-16,29.753,29.822,29.287,29.406,1269704,0
2005-02-17,29.376,29.634,29.079,29.317,776211,0
2005-02-18,29.366,29.822,29.346,29.683,972962,0
2005-02-22,30.526,31.537,30.486,30.674,2638995,0
2005-02-23,30.873,31.368,30.674,31.12,1322474,0
2005-02-24,31.17,31.318,30.734,31.25,824540,0
2005-02-25,31.537,32.062,31.507,31.824,2066397,0
2005-02-28,31.874,31.933,31.338,31.457,1010193,0
2005-03-01,31.457,31.695,31.061,31.318,1699430,0
2005-03-02,30.724,31.388,30.644,30.863,1244379,0
2005-03-03,30.883,31.101,30.674,30.952,919082,0
2005-03-04,31.071,31.27,30.991,31.18,616589,0
2005-03-07,31.19,31.914,31.18,31.824,824440,0
2005-03-08,31.794,32.191,31.527,31.943,1966609,0
2005-03-09,31.894,31.894,31.477,31.547,785796,0
2005-03-10,31.735,31.784,31.19,31.596,1174354,0
2005-03-11,31.695,31.705,31.24,31.318,664718,0
2005-03-14,31.318,31.517,31.18,31.398,764203,0
2005-03-15,31.517,31.864,31.2,31.26,815158,0
2005-03-16,31.26,31.418,31.021,31.11,524066,0
2005-03-17,31.031,31.071,30.734,30.803,661590,0
2005-03-18,31.001,31.557,30.873,31.378,1134299,0
2005-03-21,31.358,31.844,31.279,31.606,841694,0
2005-03-22,31.606,31.923,31.447,31.467,804765,0
2005-03-23,31.368,31.794,31.12,31.587,558673,0
2005-03-24,31.616,31.695,31.22,31.299,517609,0
2005-03-28,30.724,30.873,29.98,30.546,1632937,0
2005-03-29,30.546,30.714,30.149,30.357,699527,0
2005-03-30,30.357,30.783,30.347,30.783,594594,0
2005-03-31,30.724,30.823,30.387,30.456,670974,0
2005-04-01,30.704,30.754,30.11,30.327,923422,0
2005-04-04,30.327,30.427,29.832,30.03,1001314,0
2005-04-05,30.278,31.705,30.179,31.606,1431646,0
2005-04-06,31.408,31.567,30.783,30.873,749070,0
2005-04-07,31.021,31.636,30.823,31.299,715873,0
2005-04-08,31.299,31.517,31.13,31.447,745638,0
2005-04-11,31.547,31.567,30.893,31.021,624560,0
2005-04-12,31.021,31.19,30.03,31.13,936033,0
2005-04-13,31.19,31.279,30.744,31.091,497428,0
2005-04-14,31.12,31.348,31.011,31.061,461710,0
2005-04-15,30.971,31.27,30.347,30.506,684091,0
2005-04-18,30.506,30.526,29.753,30.149,969430,0
2005-04-19,30.179,30.307,29.793,30.229,639089,0
2005-04-20,30.229,30.327,29.733,29.862,766726,0
2005-04-21,29.713,30.199,29.653,30.11,607509,0
2005-04-22,29.951,30.169,29.753,29.892,861571,0
2005-04-25,29.961,30,29.673,29.783,646153,0
2005-04-26,29.783,29.783,29.456,29.624,924431,0
2005-04-27,29.624,29.902,29.366,29.505,711635,0
2005-04-28,29.505,30.03,29.505,29.683,975283,0
2005-04-29,29.683,29.852,29.485,29.733,1455256,0
2005-05-02,29.802,30,29.703,29.961,1386040,0
2005-05-03,29.99,30.06,29.812,29.931,1405412,0
2005-05-04,29.98,30.278,29.634,30.229,2600048,0
2005-05-05,30.298,30.298,29.535,29.634,1581076,0
2005-05-06,29.158,29.277,28.821,29.079,2645856,0
2005-05-09,29.039,29.039,28.673,28.88,1618611,0
2005-05-10,28.9,29.267,28.692,29.129,1557364,0
2005-05-11,29.198,29.485,29.069,29.326,1215724,0
2005-05-12,28.742,29.703,28.216,29.386,528001,0
2005-05-13,29.456,29.475,29.138,29.227,941684,0
2005-05-16,29.267,29.594,29.168,29.485,693574,0
2005-05-17,29.505,29.862,29.237,29.783,704573,0
2005-05-18,29.832,30.189,29.832,30.06,784888,0
2005-05-19,30.169,30.447,30.11,30.268,1126327,0
2005-05-20,30.229,30.337,29.723,29.733,1202707,0
2005-05-23,29.842,30.219,29.793,30.11,959240,0
2005-05-24,30.179,30.209,29.832,29.832,934722,0
2005-05-25,29.653,29.832,29.376,29.406,1145598,0
2005-05-26,29.426,30.01,29.426,29.842,755728,0
2005-05-27,29.822,30.149,29.703,30,499345,0
2005-05-31,29.852,29.911,29.624,29.793,523864,0
2005-06-01,29.653,30.209,29.653,30.08,459793,0
2005-06-02,29.921,30.229,29.713,30.159,950260,0
2005-06-03,30.06,30.268,29.852,30.1,747656,0
2005-06-06,30.01,30.189,29.812,30.05,605188,0
2005-06-07,30.04,30.486,29.911,30.209,620928,0
2005-06-08,30.387,30.466,30.159,30.219,511656,0
2005-06-09,30.139,30.506,30.04,30.179,531532,0
2005-06-10,30.169,30.724,30.129,30.704,453941,0
2005-06-13,30.674,31.051,30.556,30.863,612553,0
2005-06-14,30.823,31.11,30.774,30.883,387853,0
2005-06-15,30.873,31.071,30.634,30.952,408639,0
2005-06-16,31.14,31.26,30.863,31.101,382909,0
2005-06-17,31.328,31.328,30.506,30.576,923925,0
2005-06-20,30.407,31.2,30.397,30.943,638989,0
2005-06-21,31.041,31.071,30.576,30.764,636062,0
2005-06-22,30.873,30.883,30.506,30.576,339925,0
2005-06-23,30.576,30.961,30.576,30.644,509133,0
2005-06-24,30.397,30.624,30.159,30.229,686209,0
2005-06-27,30.337,30.337,29.485,29.485,728284,0
2005-06-28,29.604,29.852,29.555,29.852,633944,0
2005-06-29,29.921,30.02,29.644,29.703,420342,0
2005-06-30,29.723,29.773,29.277,29.297,499851,0
2005-07-01,29.446,29.703,27.949,29.148,479771,0
2005-07-05,29.039,29.733,29.039,29.336,749673,0
2005-07-06,29.426,29.555,29.217,29.217,424984,0
2005-07-07,29.119,29.277,28.94,29.079,932401,0
2005-07-08,29.158,29.426,29.148,29.317,827063,0
2005-07-11,29.525,29.525,29.237,29.336,742612,0
2005-07-12,29.237,29.426,29.039,29.396,814955,0
2005-07-13,29.515,29.515,29.237,29.326,633540,0
2005-07-14,29.465,29.872,29.446,29.743,429625,0
2005-07-15,29.703,29.802,29.297,29.634,438604,0
2005-07-18,29.653,29.653,29.257,29.257,627385,0
2005-07-19,29.326,29.822,29.237,29.426,649382,0
2005-07-20,29.426,29.653,29.217,29.465,598630,0
2005-07-21,29.366,29.535,29.019,29.446,741200,0
2005-07-22,29.456,29.465,29.168,29.336,470690,0
2005-07-25,29.336,29.336,29.029,29.079,933208,0
2005-07-26,29.207,29.941,29.168,29.832,946829,0
2005-07-27,30.03,30.327,29.882,30.307,881145,0
2005-07-28,31.318,32.32,31.2,32.161,2684702,0
2005-07-29,32.29,33.202,32.161,33.102,2215828,0
2005-08-01,33.449,33.895,33.172,33.381,1949355,0
2005-08-02,33.419,33.648,33.251,33.459,851379,0
2005-08-03,33.499,33.846,33.439,33.747,1308146,0
2005-08-04,33.698,33.816,33.449,33.519,661489,0
2005-08-05,33.519,33.598,33.162,33.558,1040463,0
2005-08-08,33.698,33.836,33.618,33.786,967514,0
2005-08-09,33.816,34.392,33.776,34.342,927457,0
2005-08-10,34.529,34.758,34.451,34.629,1465245,0
2005-08-11,34.549,34.926,34.51,34.798,1014936,0
2005-08-12,34.778,34.827,34.272,34.46,1188177,0
2005-08-15,34.342,34.729,34.242,34.659,806782,0
2005-08-16,34.629,34.729,34.392,34.451,642924,0
2005-08-17,34.411,34.609,34.272,34.322,941381,0
2005-08-18,34.322,34.441,34.272,34.362,951672,0
2005-08-19,34.48,34.866,34.392,34.639,1038042,0
2005-08-22,35.183,35.452,34.926,35.383,1391488,0
2005-08-23,35.293,35.323,34.529,34.569,1014834,0
2005-08-24,34.569,34.976,34.559,34.619,1273438,0
2005-08-25,34.589,34.986,34.569,34.836,392393,0
2005-08-26,34.709,34.758,34.242,34.392,867625,0
2005-08-29,34.431,34.729,34.252,34.589,1047929,0
2005-08-30,34.49,34.539,33.856,34.065,1268998,0
2005-08-31,33.955,34.382,33.718,34.173,1630416,0
2005-09-01,34.312,34.382,34.103,34.143,1064679,0
2005-09-02,33.419,33.846,33.419,33.529,1138838,0
2005-09-06,33.618,34.451,33.618,34.431,1699631,0
2005-09-07,34.292,34.619,34.123,34.5,938051,0
2005-09-08,34.342,34.689,34.272,34.539,812735,0
2005-09-09,34.5,35.59,34.48,35.51,1110789,0
2005-09-12,35.56,35.808,34.827,34.946,1238627,0
2005-09-13,34.836,34.896,34.49,34.559,873376,0
2005-09-14,34.559,35.056,34.529,34.539,616488,0
2005-09-15,34.47,35.095,34.392,34.996,686209,0
2005-09-16,35.085,35.283,34.896,35.243,1010899,0
2005-09-19,35.283,35.333,34.49,34.619,434770,0
2005-09-20,34.738,34.817,34.212,34.362,571386,0
2005-09-21,34.262,34.886,34.143,34.886,1491075,0
2005-09-22,34.856,34.926,34.362,34.362,794877,0
2005-09-23,34.392,34.539,34.242,34.282,480377,0
2005-09-26,34.609,34.778,34.252,34.262,546162,0
2005-09-27,35.085,35.183,34.569,34.807,966101,0
2005-09-28,34.807,35.163,34.738,35.065,1071640,0
2005-09-29,35.075,35.432,34.986,35.263,824642,0
2005-09-30,35.333,36.423,35.263,36.284,1607613,0
2005-10-03,36.086,36.274,35.51,36.204,965092,0
2005-10-04,36.135,36.601,36.086,36.214,1023815,0
2005-10-05,36.244,36.581,36.056,36.076,1143278,0
2005-10-06,36.076,36.076,35.343,35.55,911414,0
2005-10-07,35.402,35.6,34.906,35.233,1020889,0
2005-10-10,35.085,35.233,34.609,34.689,727174,0
2005-10-11,34.699,34.768,34.202,34.362,795078,0
2005-10-12,34.272,34.579,33.995,34.362,892243,0
2005-10-13,34.113,34.768,33.935,33.975,809507,0
2005-10-14,34.123,34.569,33.529,34.352,1060239,0
2005-10-17,34.272,34.729,34.153,34.689,586421,0
2005-10-18,34.639,34.936,34.549,34.906,836750,0
2005-10-19,34.689,35.263,34.48,35.233,1142269,0
2005-10-20,35.303,35.51,34.836,35.016,916458,0
2005-10-21,35.135,35.293,34.817,34.996,811423,0
2005-10-24,35.203,35.62,35.085,35.53,902737,0
2005-10-25,35.55,35.67,35.154,35.333,806782,0
2005-10-26,35.452,35.6,35.173,35.173,943399,0
2005-10-27,35.283,35.333,34.768,34.827,635457,0
2005-10-28,34.292,34.372,33.311,33.678,1597725,0
2005-10-31,34.045,34.441,34.005,34.252,1078199,0
2005-11-01,34.262,34.689,34.094,34.441,869037,0
2005-11-02,34.441,34.689,34.113,34.431,1307642,0
2005-11-03,33.995,34.045,32.428,32.597,2398655,0
2005-11-04,32.954,33.182,32.458,33.004,1305826,0
2005-11-07,32.231,32.914,32.221,32.478,1500155,0
2005-11-08,32.448,32.815,32.399,32.617,795987,0
2005-11-09,32.597,32.697,32.428,32.528,1041472,0
2005-11-10,32.498,32.875,32.369,32.755,856222,0
2005-11-11,32.647,32.746,32.548,32.627,471700,0
2005-11-14,32.577,32.746,32.34,32.448,743418,0
2005-11-15,32.35,32.548,32.221,32.448,890931,0
2005-11-16,32.498,32.657,31.973,32.092,389871,0
2005-11-17,32.012,32.528,31.983,32.508,538898,0
